bank_id,name,blood_groups_available,location,available_units,contact,open_24h
BB01,Husaini Blood Bank,"A+,A-,B+,B-,AB+,AB-,O+,O-",Karachi,186,022-5551001,True
BB02,Indus Hospital Blood Center,"A+,A-,B+,B-,AB+,O+,O-",Karachi,142,023-5551002,True
BB03,SIUT Blood Bank,"A+,B+,AB+,O+,O-",Karachi,98,024-5551003,True
BB04,Fatimid Foundation Karachi,"A+,A-,B+,B-,AB+,AB-,O+,O-",Karachi,120,025-5551004,False
BB05,Fatimid Foundation Lahore,"A+,A-,B+,B-,AB+,O+,O-",Lahore,94,026-5551005,False
BB06,Sundas Foundation Lahore,"A+,B+,AB+,O+,O-",Lahore,76,027-5551006,True
BB07,Husaini Blood Bank Lahore,"A+,A-,B+,B-,O+,O-",Lahore,88,028-5551007,True
BB08,Pakistan Red Crescent Islamabad,"A+,B+,AB+,O+,O-",Islamabad,64,029-5551008,True
BB09,PIMS Blood Bank,"A+,A-,B+,B-,AB+,O+,O-",Islamabad,71,030-5551009,True
BB10,Regional Blood Centre Rawalpindi,"A+,B+,B-,AB+,O+,O-",Rawalpindi,58,031-5551010,True
BB11,Fatimid Foundation Peshawar,"A+,A-,B+,B-,AB+,O+,O-",Peshawar,67,032-5551011,False
BB12,Regional Blood Centre Peshawar,"A+,B+,AB+,O+,O-",Peshawar,52,033-5551012,True
BB13,Fatimid Foundation Quetta,"A+,B+,B-,AB+,O+,O-",Quetta,41,034-5551013,False
BB14,Fatimid Foundation Multan,"A+,A-,B+,B-,AB+,AB-,O+,O-",Multan,73,035-5551014,False
BB15,Regional Blood Centre Faisalabad,"A+,B+,AB+,O+,O-",Faisalabad,61,036-5551015,True
BB16,Fatimid Foundation Hyderabad,"A+,A-,B+,B-,AB+,O+,O-",Hyderabad,55,037-5551016,False
BB17,Fatimid Foundation Khairpur,"A+,B+,AB+,O+,O-",Khairpur,34,038-5551017,False
BB18,Fatimid Foundation Larkana,"A+,B+,B-,O+,O-",Larkana,38,039-5551018,False
BB19,Regional Blood Centre Nawabshah,"A+,A-,B+,B-,AB+,AB-,O+,O-",Nawabshah,66,040-5551019,True
BB20,Peoples Medical College Blood Bank,"A+,B+,AB+,O+,O-",Nawabshah,47,041-5551020,True
BB21,Husaini Blood Bank Sukkur,"A+,B+,B-,AB+,O+,O-",Sukkur,43,042-5551021,True
BB22,Bahawal Victoria Blood Bank,"A+,B+,AB+,O+,O-",Bahawalpur,36,043-5551022,True
BB23,Ayub Teaching Hospital Blood Bank,"A+,A-,B+,B-,O+,O-",Abbottabad,39,044-5551023,True
BB24,DHQ Blood Bank Gilgit,"A+,B+,O+,O-",Gilgit,22,045-5551024,False
